OBJECTID,Name,Snippet,SWTORD,COMVAL_SQM,RESVAL_SQM,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,R_AVGYR,LUDIVERS,WE_CT,RCODEV,AUTOV,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,id,Neighborhoods__LENGTH,Neighborhoods__AREA,Shape_Length,Shape_Area
110,Southside / St. Teresa,http://durhamhoods.com/neighborhoods/southside-st-teresa/,66.9,0,1198830,166,419,174,1955,20.6,48,23,2,51.9,5.4,48.9,100,280,61,110,0.037907381,-6.24e-05,0.037907381,-6.24e-05
111,South Terrace at Auburn,http://durhamhoods.com/neighborhoods/south-terrace-at-auburn/,150.2,0,0,25,424,25,2002,100,0,0,0,0,0,0,0,0,0,111,0.015133737,-1.04e-05,0.015133737,-1.04e-05
112,Spring Valley,http://durhamhoods.com/neighborhoods/spring-valley/,0,0,68786,3,52,0,1978,2.9,5,1,2,0,0,0,0,0,0,112,0.036929172,-7.53e-05,0.036929172,-7.53e-05
113,Stadium Heights,http://durhamhoods.com/neighborhoods/stadium-heights/,21.1,187312,125556,40,185,20,1959,28.6,25,4,8,0,18.8,29.4,69.2,106,23,113,0.051899086,-0.000169542,0.051899086,-0.000169542
114,Stephen's Woods,http://durhamhoods.com/neighborhoods/stephens-woods/,0,0,111298,0,16,5,1986,10.4,0,0,0,0,0,0,0,0,0,114,0.039325604,-4.96e-05,0.039325604,-4.96e-05
115,Sterling Ridge,http://durhamhoods.com/neighborhoods/sterling-ridge/,55.6,0,585305,0,78,0,1999,0,0,0,0,0,0,0,0,0,0,115,0.010194587,-6.65e-06,0.010194587,-6.65e-06
116,Stillwood,http://durhamhoods.com/neighborhoods/stillwood/,62.4,0,0,16,16,0,2007,0,0,0,1,0,0,0,0,0,0,116,0.01619701,-1.67e-05,0.01619701,-1.67e-05
117,Stirrup Creek,http://durhamhoods.com/neighborhoods/stirrup-creek/,0,0,0,0,12,0,1983,1.8,0,0,0,0,0,0,26.2,0,0,117,0.020246907,-2.19e-05,0.020246907,-2.19e-05
118,Stratford Lakes,http://durhamhoods.com/neighborhoods/stratford-lakes/,58.7,0,29516579,0,7,7,2010,2.1,0,0,0,0,0,0,100,53,11,118,0.028108317,-3.48e-05,0.028108317,-3.48e-05
119,Summer Meadow,http://durhamhoods.com/neighborhoods/summer-meadow/,83.9,0,9134,18,164,0,2005,0,2,1,6,0,0,0,0,0,0,119,0.0335983,-4.25e-05,0.0335983,-4.25e-05
120,Sunningdale,http://durhamhoods.com/neighborhoods/sunningdale/,27.9,0,1468479,0,213,0,1994,0,0,0,0,0,0,0,0,0,0,120,0.015575432,-1.21e-05,0.015575432,-1.21e-05
